PLA_type,  MLO_phr,  wool_phr,  ca_phr,  ca_type,tensile strength,elongation at brake,Young modulus,Flexural resistance,Flexural modulus,  hardness,  impact,PLA Tg,PLA Tcc,PLA Tm,PLA Xc%,T5,Tmax,Mass loss 300,Mass loss 350
6210D,10,1,  1,  a, 39.31,  38.044,  1969.7,  67.5,  3061.4,80,  24.25,60.1,111.5,169.7,16.70,325.3,365.9,1.70,22.50
6210D,10,1,  1,  a, 37.34,  27.601,  2013.8,  67.5,  3064.5,80,  19,59.1,109.5,170.4,16.00,324.2,368.2,1.30,21.60
6210D,10,1,  1,  a,  39.75,  40.695,  1564.9,  70.9,  3292.1,80,  22,61.1,113.5,169.0,17.40,326.4,362.6,2.10,23.40
6210D,10,1,  1,  a,  40.38,  46.366,  1889,  67.5,  3061.4,79,  10.75,60.1,111.5,169.7,16.70,325.3,365.9,1.70,22.50
6210D,10,1,  1,  a,  40.78,  29.532,  2075.7,  67.5,  3064.5,79,  16.75,59.1,109.5,170.4,16.00,324.2,368.2,1.30,21.60
6210D,10,1,  1,  a,  39.31,  38.04,  1969.7,  70.9,  3292.1,72,  24.25,61.1,113.5,169.0,17.40,326.4,362.6,2.10,23.40
6210D,10,1, 1, a, 37.34, 27.6, 2013.8, 67.5, 3061.4,79, 19,60.1,111.5,169.7,16.70,325.3,365.9,1.70,22.50
6210D,10,1, 1, a, 39.75, 40.7, 1564.9, 67.5, 3064.5,78, 22,59.1,109.5,170.4,16.00,324.2,368.2,1.30,21.60
6210D,10,1, 1, a, 40.38, 46.37, 1889, 70.9, 3292.1,75, 10.75,61.1,113.5,169.0,17.40,326.4,362.6,2.10,23.40
6210D,10,1, 1, a, 40.78, 29.53, 2075.7, 67.5, 3061.4,79, 16.75,60.1,111.5,169.7,16.70,325.3,365.9,1.70,22.50
6210D,10,1, 1, a, 39.31, 38.04, 1969.7, 67.5, 3064.5,81, 24.25,59.1,109.5,170.4,16.00,324.2,368.2,1.30,21.60
6210D,10,1, 1, a, 37.34, 27.6, 2013.8, 70.9, 3292.1,80, 19,61.1,113.5,169.0,17.40,326.4,362.6,2.10,23.40
6210D,10,1, 1, a, 39.75, 40.7, 1564.9, 67.5, 3061.4,79, 22,60.1,111.5,169.7,16.70,325.3,365.9,1.70,22.50
6210D,10,1, 1, a, 40.38, 46.37, 1889, 67.5, 3064.5,80, 10.75,59.1,109.5,170.4,16.00,324.2,368.2,1.30,21.60
6210D,10,1, 1, a, 40.78, 29.53, 2075.7, 70.9, 3292.1,80, 16.75,61.1,113.5,169.0,17.40,326.4,362.6,2.10,23.40
6210D,10,1, 1, b, 41.11, 49.86, 1468.3, 67.9, 2920.6,79, 24,60.2,111.3,170.1,16.40,326.8,366.9,2.60,21.00
6210D,10,1, 1, b, 39.55, 35.8, 1265.6, 71.1, 3124.5,75, 21.75,61.2,110.8,169.6,15.60,326.1,365.0,2.30,22.20
